AddressID,property_name,plug_load_consumption,ac_consumption,domestic_gas,heating_gas,kmeans_label,pca_1,pca_2,pca_3,pca_3,Address,Zipcode,Long,Lat,Energy,Measured,Energy in KWH,Annual Energy Bill (USD),Predicted,ReClustering
102 Commerce Street11231,NYSERDA_Energy_Assessment_Report_-_The_CHS_Group,0.139766981,0.072097306,0.008467915,0.039943098,0,0.097169464,0.142260595,0.097169464,0.142260595,102 Commerce Street,11231,-74.0088817,40.6815226,0.090387167,0.16294164,61982.99986," $11,156.94 ",0.133196511,0
584 bay Street10304,NYSERDA_Energy_Assessment_-_Island_Bay_Grill_and_Lounge,0.189875618,0.084176392,0.178812659,0.268982375,0,-0.058867937,-0.038065251,-0.058867937,-0.038065251,584 bay Street,10304,-74.0764021,40.6275215,0.22323004,0.080483701,30615.99986," $5,510.88 ",0.0420729,0
230 Decatur Street11230,MountLebanonBaptistChurch,0.161156242,0.161685892,0.017230509,0.087952535,0,0.020315063,0.093430303,0.020315063,0.093430303,230 Decatur Street,11230,-73.9339499,40.6810893,0.188990157,0.255520505,97200.0001," $17,496.00 ",0.076997158,0
17-31 Seagrit Blvd.11691,SouthIslandMedicalAssociates,0.101173973,0.127820946,0.076335571,0.193365997,0,0.032955875,-0.000899967,0.032955875,-0.000899967,17-31 Seagrit Blvd.,11691,-73.7523365,40.5947466,0.124364356,0.078467403,29849.0001," $5,372.82 ",0.06476165,0
1817 Mott Avenue11691,NYSERDA_Energy_Assessment_-_DAC_Unisex_Beauty_Salon,0.219683153,0.310161867,0.147396514,0.301816385,2,-0.198362967,-0.090157059,-0.198362967,-0.090157059,1817 Mott Avenue,11691,-73.753855,40.6047334,0.267043383,0.038512093,14650.00018," $2,637.00 ",0.058182174,1
112-30 Beach Channel Drive11694,NYSERDA_Energy_Assessment_-_Nelly's_Nails_and_More,0.139020453,0.205806561,0.029148899,0.559928234,2,-0.064719066,-0.366471401,-0.064719066,-0.366471401,112-30 Beach Channel Drive,11694,-73.8636374,40.5751461,0.168098189,0.045454784,17290.99983," $3,112.38 ",0.06936669,1
112-30 Beach Channel Drive11694,JohnLeporeInsuranceAgencyInc,0.123418053,0.090257739,0.148800093,0.294116436,0,-0.00954138,-0.07740219,-0.00954138,-0.07740219,112-30 Beach Channel Drive,11694,-73.8636374,40.5751461,0.168098189,0.040462671,15392.00005," $2,770.56 ",0.085333756,0
7508 Beach Channel Drive116992,NYSERDA_Energy_Assessment_-_Pilgrim_Church_of_Arverne,0.100113298,0.121483912,0.004809373,0.243427739,0,0.065956476,-0.063958114,0.065956476,-0.063958114,7508 Beach Channel Drive,116992,-73.8356758,40.582635,0.029977568,0.042292324,16088.00005," $2,895.84 ",0.102925639,0
171 Avenue C10009,NYSERDA_Energy_Assessment_-_1011_Tavern_Corp_-_Evelyn,0.520249569,0.284421064,0.076335571,0.193365997,3,-0.319837284,0.039131571,-0.319837284,0.039131571,171 Avenue C,10009,-73.9776141,40.7263725,0.547300198,0.088796004,33777.99992," $6,080.04 ",0.024704926,1
1720 Ave J11230,CongregationKnessethBaisYaakov,0.466720144,0.382674561,0.008220681,0.248369478,3,-0.317587371,-0.042595765,-0.317587371,-0.042595765,1720 Ave J,11230,-73.958697,40.62523,0.140010555,0.11500617,43748.34707," $7,874.70 ",0.079107015,1
9.18E+14,TheStarPeople'sLaundromat,0.204688456,0.135965749,0.95766219,0.230649325,3,-0.482268186,0.160415995,-0.482268186,0.160415995,9176135257,10302,-74.131907,40.6360389,0.184469559,0.059858044,22769.99994," $4,098.60 ",0.23084019,1
117 Wright Street10304,FirstCentralBaptistChurch,0.062953609,0.07136085,0.003471107,0.057111673,0,0.145561614,0.115116349,0.145561614,0.115116349,117 Wright Street,10304,-74.0797014,40.6282664,0.042562887,0.073659306,28020," $5,043.60 ",0.112696604,0
758 Arthur Kill Road10312,CAAABagels,1,0.997882448,1,0.108745418,1,-1.48533564,0.319483273,-1.48533564,0.319483273,758 Arthur Kill Road,10312,-74.166282,40.5597809,0.9034585,0.244300736,92931.99997," $16,727.76 ",0.204276699,1
112-20 beach Channel Drive11694,NYSERDA_Energy_Assessment_Report_-_World_Champions_Karate,0.077888926,0.080990578,0.048186403,0.155218477,0,0.094317762,0.030785564,0.094317762,0.030785564,112-20 beach Channel Drive,11694,-73.8357699,40.5827587,0.088107911,0.015883281,6042.000092," $1,087.56 ",0.023227648,0
241 Beach 116th Street #111694,PaninicoCafeReport,0.844713519,1,0.654870041,0.447673382,1,-1.265381996,-0.100116369,-1.265381996,-0.100116369,241 Beach 116th Street #1,11694,-73.8379319,40.5804826,1,0.144216614,54859.99997," $9,874.80 ",0.194025868,1
239 Beach 116th Street11694,Curran'sSuperiorMeatsReport,0.715080169,0.717029609,0.270809469,0.143086385,3,-0.783999328,0.119390155,-0.783999328,0.119390155,239 Beach 116th Street,11694,-73.8378233,40.5805242,0.809332847,0.145899054,55500.00014," $9,990.00 ",0.081179157,1
239 Beach 116th Street11694,Sigma_AlphaLLCReport,0.080060654,0.192746649,0.076335571,0.193365997,0,0.008216533,-0.00854321,0.008216533,-0.00854321,239 Beach 116th Street,11694,-73.8378233,40.5805242,0.809332847,0.010533649,4007.00008, $721.26 ,0.040899518,0
375 Beach 92nd Street11693,ThaiRock,0.21595866,0.175909553,0.085294305,0.336276546,2,-0.091510229,-0.126601734,-0.091510229,-0.126601734,375 Beach 92nd Street,11693,-73.817115,40.5887325,0.237178272,0.256537855,97587.00004," $17,565.66 ",0.132115039,1
132 W 134th Street10030,SaintJohnAMEChurch,0.072312773,0.184637979,0.016264122,0.092694295,0,0.062131655,0.07581822,0.062131655,0.07581822,132 W 134th Street,10030,-73.9433814,40.8140753,0.030930808,0.025604627,9740.000111," $1,753.20 ",0.024196691,0
1332 Central Avenue11691,ArverneChurchofGod-COGCA,0.198862876,0.171218038,0.031958148,0.23536139,0,-0.037092877,-0.042017223,-0.037092877,-0.042017223,1332 Central Avenue,11691,-73.7491396,40.6075143,0.133405925,0.196529968,74759.99983," $13,456.80 ",0.235872265,0
1318 Central Avenue11691,ArverneChurchofGod,0.177692929,0.132626833,0.064107116,0.591351181,2,-0.068057282,-0.379039076,-0.068057282,-0.379039076,1318 Central Avenue,11691,-73.7497946,40.6072579,0.112122209,0.062152997,23643.00006," $4,255.74 ",0.095660489,1
157 St. Pauls Place11226,SaintPaulsChurch-OfficeAuditorium,0.02565082,0.005482528,0.004477935,0.036712614,0,0.209686777,0.135496891,0.209686777,0.135496891,157 St. Pauls Place,11226,-73.9621723,40.6504518,0.140010555,0.11500617,43748.34707," $7,874.70 ",0.197295226,0
